step,sha256,md5,sha1,blake2b,sha3_256
26,3.5762786865234375e-06,1.6689300537109375e-06,1.6689300537109375e-06,1.430511474609375e-06,2.384185791015625e-06
27,3.0994415283203125e-06,1.1920928955078125e-06,9.5367431640625e-07,1.430511474609375e-06,1.9073486328125e-06
28,2.384185791015625e-06,9.5367431640625e-07,9.5367431640625e-07,1.1920928955078125e-06,1.1920928955078125e-06
29,3.814697265625e-06,1.1920928955078125e-06,9.5367431640625e-07,1.6689300537109375e-06,1.430511474609375e-06
30,2.384185791015625e-06,9.5367431640625e-07,9.5367431640625e-07,9.5367431640625e-07,1.1920928955078125e-06
31,3.0994415283203125e-06,1.430511474609375e-06,1.1920928955078125e-06,1.1920928955078125e-06,1.430511474609375e-06
32,2.384185791015625e-06,7.152557373046875e-07,1.1920928955078125e-06,1.1920928955078125e-06,1.6689300537109375e-06
33,5.0067901611328125e-06,2.384185791015625e-06,1.9073486328125e-06,2.1457672119140625e-06,2.6226043701171875e-06
34,4.76837158203125e-06,2.384185791015625e-06,1.9073486328125e-06,2.1457672119140625e-06,2.86102294921875e-06
35,5.7220458984375e-06,1.1920928955078125e-06,1.430511474609375e-06,2.384185791015625e-06,1.6689300537109375e-06
36,2.384185791015625e-06,9.5367431640625e-07,7.152557373046875e-07,1.1920928955078125e-06,9.5367431640625e-07
37,2.1457672119140625e-06,1.1920928955078125e-06,4.76837158203125e-07,9.5367431640625e-07,1.430511474609375e-06
38,2.86102294921875e-06,1.1920928955078125e-06,9.5367431640625e-07,1.1920928955078125e-06,1.6689300537109375e-06
39,5.245208740234375e-06,2.384185791015625e-06,2.384185791015625e-06,2.384185791015625e-06,3.0994415283203125e-06
40,4.5299530029296875e-06,1.430511474609375e-06,1.1920928955078125e-06,1.9073486328125e-06,1.6689300537109375e-06
41,2.86102294921875e-06,1.1920928955078125e-06,9.5367431640625e-07,1.1920928955078125e-06,1.6689300537109375e-06
42,6.9141387939453125e-06,2.86102294921875e-06,2.384185791015625e-06,2.86102294921875e-06,3.5762786865234375e-06
43,3.0994415283203125e-06,1.1920928955078125e-06,1.1920928955078125e-06,9.5367431640625e-07,1.6689300537109375e-06
44,5.4836273193359375e-06,1.6689300537109375e-06,1.6689300537109375e-06,1.9073486328125e-06,2.1457672119140625e-06
45,4.0531158447265625e-06,1.9073486328125e-06,1.9073486328125e-06,1.430511474609375e-06,2.1457672119140625e-06
46,5.0067901611328125e-06,1.9073486328125e-06,1.430511474609375e-06,1.6689300537109375e-06,1.0967254638671875e-05
47,6.4373016357421875e-06,1.3113021850585938e-05,2.86102294921875e-06,2.1457672119140625e-06,2.86102294921875e-06
48,8.106231689453125e-06,2.384185791015625e-06,1.9073486328125e-06,2.86102294921875e-06,3.0994415283203125e-06
49,6.4373016357421875e-06,2.384185791015625e-06,2.1457672119140625e-06,2.384185791015625e-06,3.0994415283203125e-06
50,3.814697265625e-06,1.6689300537109375e-06,1.9073486328125e-06,1.430511474609375e-06,2.6226043701171875e-06
51,3.5762786865234375e-06,2.1457672119140625e-06,1.9073486328125e-06,1.1920928955078125e-06,2.384185791015625e-06
52,1.9073486328125e-06,1.1920928955078125e-06,1.3828277587890625e-05,2.384185791015625e-06,3.337860107421875e-06
53,6.198883056640625e-06,1.8358230590820312e-05,4.5299530029296875e-06,2.86102294921875e-06,3.337860107421875e-06
54,5.9604644775390625e-06,1.9073486328125e-06,1.430511474609375e-06,1.9073486328125e-06,1.9073486328125e-06
55,5.9604644775390625e-06,1.6689300537109375e-06,1.6689300537109375e-06,1.9073486328125e-06,2.1457672119140625e-06
56,3.5762786865234375e-06,1.1920928955078125e-06,1.1920928955078125e-06,1.1920928955078125e-06,1.430511474609375e-06
57,4.76837158203125e-06,1.9073486328125e-06,1.430511474609375e-06,1.430511474609375e-06,2.384185791015625e-06
58,3.0994415283203125e-06,1.430511474609375e-06,9.5367431640625e-07,1.430511474609375e-06,1.430511474609375e-06
59,6.4373016357421875e-06,2.1457672119140625e-06,2.1457672119140625e-06,2.1457672119140625e-06,2.86102294921875e-06
60,2.384185791015625e-06,9.5367431640625e-07,1.1920928955078125e-06,9.5367431640625e-07,1.430511474609375e-06
61,4.291534423828125e-06,1.6689300537109375e-06,1.1920928955078125e-06,1.430511474609375e-06,1.9073486328125e-06
62,2.86102294921875e-06,1.430511474609375e-06,7.152557373046875e-07,9.5367431640625e-07,1.430511474609375e-06
63,2.6226043701171875e-06,9.5367431640625e-07,7.152557373046875e-07,1.1920928955078125e-06,1.430511474609375e-06
64,4.0531158447265625e-06,2.384185791015625e-06,1.430511474609375e-06,1.430511474609375e-06,2.86102294921875e-06
65,5.245208740234375e-06,1.9073486328125e-06,1.1920928955078125e-06,1.6689300537109375e-06,2.1457672119140625e-06
66,2.86102294921875e-06,9.5367431640625e-07,9.5367431640625e-07,1.430511474609375e-06,1.430511474609375e-06
67,2.1457672119140625e-06,9.5367431640625e-07,7.152557373046875e-07,1.1920928955078125e-06,9.5367431640625e-07
68,4.291534423828125e-06,1.430511474609375e-06,9.5367431640625e-07,1.430511474609375e-06,1.9073486328125e-06
69,5.7220458984375e-06,1.6689300537109375e-06,1.1920928955078125e-06,2.1457672119140625e-06,1.6689300537109375e-06
70,2.6226043701171875e-06,1.1920928955078125e-06,9.5367431640625e-07,1.1920928955078125e-06,1.430511474609375e-06
71,2.86102294921875e-06,9.5367431640625e-07,1.1920928955078125e-06,1.1920928955078125e-06,1.1920928955078125e-06
72,3.337860107421875e-06,1.430511474609375e-06,9.5367431640625e-07,1.430511474609375e-06,1.1920928955078125e-06
